Name,NSE Code,Industry,Current Price,CMP to IV,Price to book value,Intrinsic Value,Market Capitalization,Price to Earning,Industry PE,Historical PE 3Years,DuPont Model,PEG Ratio
Carborundum Uni.,CARBORUNIV,Abrasives And Grinding Wheels,1700,6.11,10.35,278.26,32343.79,70.17,69.24,48.76,21.09,5.29
Grindwell Norton,GRINDWELL,Abrasives And Grinding Wheels,2337.6,5.7,12.62,410.02,25881.89,67.45,69.24,64.21,25.84,3.43
Blue Star,BLUESTARCO,Air-conditioners,1520.6,3.33,12.01,456.68,31265.82,75.47,75.91,58.63,23.18,4.44
Voltas,VOLTAS,Air-conditioners,1343.35,8.64,7.61,155.47,44449.33,179.16,75.91,72.07,10.28,-13.15
Hindalco Inds.,HINDALCO,Aluminium and Aluminium Products,671.75,0.94,1.51,718.43,150956.78,16.11,25.24,10.96,34.15,1.01
Natl. Aluminium,NATIONALUM,Aluminium and Aluminium Products,191,1.73,2.57,110.37,35079.66,22.33,25.24,8.92,34.48,1.35
Amara Raja Ener.,ARE&M,Auto Ancillaries,1125,1.33,3.37,846.37,20590.3,25.18,33.31,16.48,23.16,2.63
Bombay Burmah,BBTC,Auto Ancillaries,1542.75,1.05,2.35,1474.98,10764.06,15.1,33.31,18.62,38.14,5.35
Bosch,BOSCHLTD,Auto Ancillaries,30720,4.15,7.86,7398.09,90604.46,53.8,33.31,38.95,16.8,-1076
Craftsman Auto,CRAFTSMAN,Auto Ancillaries,4315.95,1.14,5.5,3794.75,9118.92,29.97,33.31,31.44,57.96,1.17
Endurance Tech.,ENDURANCE,Auto Ancillaries,2183,2.41,6.17,905.09,30706.66,45.09,33.31,41.29,24.21,7.23
Exide Inds.,EXIDEIND,Auto Ancillaries,464.15,2.29,3.08,202.61,39452.75,45,33.31,20.55,13.8,17.58
HBL Power System,HBLPOWER,Auto Ancillaries,534,10.04,13.92,53.19,14802.2,62.43,33.31,36.97,16.26,2.91
JBM Auto,JBMA,Auto Ancillaries,1906.05,7.12,19.35,267.72,22538.56,126.09,33.31,48.9,44.21,9.91
Minda Corp,MINDACORP,Auto Ancillaries,416.2,3.94,4.99,105.67,9950.52,43.74,33.31,30.84,25.35,5.76
Motherson Wiring,MSUMI,Auto Ancillaries,68.3,1.73,18.05,39.37,30196.21,47.29,33.31,53.05,55,
